name,brand,model,generation,version,purchasePrice,fuelType,consumption,annualMileage,insuranceCost,maintenanceCost,resaleValue
Tesla Model Y RWD (2023),Tesla,Model Y,,RWD (2023),44990,ELECTRIC,15.7,20000,950,280,24000
Tesla Model 3 Highland (2024),Tesla,Model 3,,Highland (2024),41490,ELECTRIC,14.4,20000,900,250,23000
Peugeot e-208 GT (2020),Peugeot,e-208,,GT (2020),34800,ELECTRIC,15.4,15000,720,240,16500
Renault Megane E-Tech EV60 (2022),Renault,Mégane,E-Tech,EV60 (2022),38000,ELECTRIC,16.1,16000,780,260,18000
Fiat 500e La Prima (2021),Fiat,500e,,La Prima (2021),30400,ELECTRIC,13.0,12000,580,200,14000
MG 4 EV Luxury (2023),MG,4,,EV Luxury (2023),32990,ELECTRIC,16.0,16000,760,240,15000
Volkswagen ID.3 Pro (2021),Volkswagen,ID.3,,Pro (2021),39950,ELECTRIC,15.5,15000,800,280,17500
Dacia Spring Extreme (2023),Dacia,Spring,,Extreme (2023),18900,ELECTRIC,13.9,10000,450,180,9500
BMW i4 eDrive40 (2022),BMW,Autres Modèles,,i4 eDrive40 (2022),57550,ELECTRIC,16.9,22000,1200,380,32000
Hyundai Ioniq 5 Intuitive (2021),Hyundai,Ioniq,,5 Intuitive (2021),46500,ELECTRIC,17.0,18000,920,300,21000
Toyota Yaris IV Hybrid (2020),Toyota,Yaris,,IV Hybrid (2020),23950,HYBRID,3.8,14000,560,360,12500
Toyota Corolla Hybrid (2020),Toyota,Corolla,,Hybrid (2020),32400,HYBRID,4.4,16000,710,420,17000
Renault Clio V E-Tech Hybrid (2020),Renault,Clio,V,E-Tech Hybrid (2020),22400,HYBRID,4.2,15000,590,380,11000
Peugeot 3008 II Hybrid 136 (2020),Peugeot,3008,II,Hybrid 136 (2020),38500,HYBRID,5.5,18000,820,480,20500
Hyundai Tucson Hybrid (2021),Hyundai,Tucson,,Hybrid (2021),37800,HYBRID,5.7,17000,790,460,19000
Ford Kuga Duratec FHEV (2021),Ford,Kuga,,Duratec FHEV (2021),39900,HYBRID,5.4,18000,840,490,19500
Kia Niro Hybrid (2021),Kia,Niro,,Hybrid (2021),31990,HYBRID,4.4,15000,690,410,16000
Dacia Sandero Stepway TCe (2021),Dacia,Sandero,,Stepway TCe (2021),15200,PETROL,5.8,12000,490,380,8200
Peugeot 208 II PureTech 100 (2020),Peugeot,208,II,PureTech 100 (2020),19800,PETROL,5.3,13000,580,440,9800
Renault Clio V TCe 90 (2020),Renault,Clio,V,TCe 90 (2020),18500,PETROL,5.2,14000,560,420,9500
Volkswagen Golf VIII 1.5 TSI (2020),Volkswagen,Golf,,VIII 1.5 TSI (2020),29500,PETROL,5.4,16000,720,520,14500
Citroen C3 III PureTech 110 (2020),Citroën,C3,,III PureTech 110 (2020),18900,PETROL,5.5,13000,550,430,9000
Ford Fiesta EcoBoost (2020),Ford,Fiesta,,EcoBoost (2020),19200,PETROL,5.1,12000,540,410,9200
Peugeot 308 III BlueHDi 130 (2021),Peugeot,308,III,BlueHDi 130 (2021),29900,DIESEL,4.5,20000,740,580,14000
Renault Megane IV BluedCi (2020),Renault,Mégane,IV,BluedCi (2020),28400,DIESEL,4.3,22000,710,560,13000
Volkswagen Golf VIII 2.0 TDI (2020),Volkswagen,Golf,,VIII 2.0 TDI (2020),31200,DIESEL,4.1,24000,780,620,15000
Mercedes Classe A 180 d (2020),Mercedes-Benz,Classe,,A 180 d (2020),39500,DIESEL,4.6,22000,980,720,19500
Peugeot 205 GTi 1.9 (1990),Peugeot,205,,GTi 1.9 (1990),14000,PETROL,8.2,8000,650,750,11000
Peugeot 106 1.1 (1992),Peugeot,106,,1.1 (1992),1200,PETROL,6.1,10000,320,380,300
Peugeot 306 1.9 D (1994),Peugeot,306,,1.9 D (1994),1500,DIESEL,5.9,12000,380,450,400
Peugeot 406 2.0 HDi (1999),Peugeot,406,,2.0 HDi (1999),2200,DIESEL,5.5,15000,480,500,600
Peugeot 206 1.4 HDi (2002),Peugeot,206,,1.4 HDi (2002),2500,DIESEL,4.3,13000,420,440,900
Peugeot 206 1.6 16V (2001),Peugeot,206,,1.6 16V (2001),2800,PETROL,6.7,11000,460,480,1100
Peugeot 307 2.0 HDi (2001),Peugeot,307,,2.0 HDi (2001),2900,DIESEL,5.4,14000,510,520,1200
Peugeot 407 2.0 HDi (2004),Peugeot,407,,2.0 HDi (2004),3900,DIESEL,5.9,16000,590,580,1600
Peugeot 207 1.4 HDi (2010),Peugeot,207,,1.4 HDi (2010),4200,DIESEL,4.2,12000,460,450,1800
Peugeot 208 I 1.6 BlueHDi (2015),Peugeot,208,I,1.6 BlueHDi (2015),7800,DIESEL,3.6,15000,520,480,4200
Peugeot 308 II 1.6 BlueHDi (2014),Peugeot,308,II,1.6 BlueHDi (2014),8900,DIESEL,3.8,16000,590,520,5300
Peugeot 2008 I 1.6 BlueHDi (2015),Peugeot,2008,,I 1.6 BlueHDi (2015),9200,DIESEL,3.7,14000,560,500,5600
Peugeot 3008 I 1.6 HDi (2011),Peugeot,3008,I,1.6 HDi (2011),6500,DIESEL,5.0,15000,620,590,3800
Renault Clio I 1.2 (1991),Renault,Clio,I,1.2 (1991),1100,PETROL,6.5,8000,310,390,200
Renault Clio I 1.9 D (1993),Renault,Clio,I,1.9 D (1993),1300,DIESEL,5.7,11000,340,420,300
Renault Twingo I 1.2 (1993),Renault,Twingo,I,1.2 (1993),1800,PETROL,6.0,9000,330,350,600
Renault 19 1.9 D (1991),Renault,19,,1.9 D (1991),1200,DIESEL,6.1,10000,350,440,250
Renault Megane I 1.6 (1996),Renault,Mégane,I,1.6 (1996),1600,PETROL,6.9,11000,390,460,400
Renault Scenic I 1.9 dTi (1997),Renault,Scénic,I,1.9 dTi (1997),1900,DIESEL,6.0,13000,440,510,500
Renault Clio II 1.5 dCi (2001),Renault,Clio,II,1.5 dCi (2001),2400,DIESEL,4.4,14000,410,450,800
Renault Clio II 1.2 16V (2002),Renault,Clio,II,1.2 16V (2002),2200,PETROL,6.0,11000,390,420,700
Renault Megane II 1.5 dCi (2003),Renault,Mégane,II,1.5 dCi (2003),3100,DIESEL,4.7,15000,490,500,1100
Renault Scenic II 1.9 dCi (2004),Renault,Scénic,II,1.9 dCi (2004),3400,DIESEL,5.8,16000,550,580,1300
Renault Twingo II 1.5 dCi (2007),Renault,Twingo,II,1.5 dCi (2007),3600,DIESEL,4.1,12000,430,420,1500
Renault Clio III 1.5 dCi (2010),Renault,Clio,III,1.5 dCi (2010),4800,DIESEL,4.2,14000,490,480,2400
Renault Clio IV 1.5 dCi (2013),Renault,Clio,IV,1.5 dCi (2013),7200,DIESEL,3.6,15000,540,500,4000
Renault Clio IV 0.9 TCe (2014),Renault,Clio,IV,0.9 TCe (2014),6900,PETROL,5.0,12000,510,480,3800
Renault Captur I 1.5 dCi (2014),Renault,Captur,I,1.5 dCi (2014),8500,DIESEL,3.9,14000,560,510,4900
Renault Megane III 1.5 dCi (2011),Renault,Mégane,III,1.5 dCi (2011),5800,DIESEL,4.4,16000,550,520,3200
Renault Scenic III 1.6 dCi (2012),Renault,Scénic,III,1.6 dCi (2012),6900,DIESEL,4.4,17000,610,580,3900
Citroen AX 1.0 (1991),Citroën,AX,,1.0 (1991),900,PETROL,5.3,8000,280,320,150
Citroen Saxo 1.5 D (1996),Citroën,Saxo,,1.5 D (1996),1400,DIESEL,4.9,12000,330,380,400
Citroen Xsara 1.9 TD (1997),Citroën,Xsara,,1.9 TD (1997),1700,DIESEL,6.2,13000,410,460,500
Citroen C3 I 1.4 HDi (2002),Citroën,C3,,I 1.4 HDi (2002),2300,DIESEL,4.2,13000,420,440,800
Citroen C4 I 1.6 HDi (2005),Citroën,C4,,I 1.6 HDi (2005),3200,DIESEL,4.8,15000,510,500,1200
Citroen Xsara Picasso 2.0 HDi (2000),Citroën,Xsara,,Picasso 2.0 HDi (2000),2600,DIESEL,5.5,16000,490,520,900
Citroen C3 II 1.6 HDi (2011),Citroën,C3,,II 1.6 HDi (2011),4900,DIESEL,4.0,13000,480,460,2500
Citroen C4 II 1.6 e-HDi (2012),Citroën,C4,,II 1.6 e-HDi (2012),5900,DIESEL,4.2,15000,540,510,3200
Citroen C4 Picasso II 1.6 BlueHDi (2014),Citroën,C4,,Picasso II 1.6 BlueHDi (2014),9800,DIESEL,4.0,16000,620,540,5800
Dacia Logan I 1.5 dCi (2010),Dacia,Logan,,I 1.5 dCi (2010),3200,DIESEL,4.6,13000,410,400,1400
Dacia Sandero I 1.4 MPI (2010),Dacia,Sandero,,I 1.4 MPI (2010),2900,PETROL,6.9,11000,380,390,1200
Dacia Sandero II Stepway dCi (2015),Dacia,Sandero,,II Stepway dCi (2015),7400,DIESEL,3.8,13000,480,450,4200
Dacia Duster I 1.5 dCi (2012),Dacia,Duster,,I 1.5 dCi (2012),6500,DIESEL,5.3,14000,520,490,3600
Volkswagen Golf III 1.9 TDI (1994),Volkswagen,Golf,,III 1.9 TDI (1994),1800,DIESEL,5.0,13000,390,440,600
Volkswagen Polo III 1.4 (1995),Volkswagen,Polo,,III 1.4 (1995),1500,PETROL,6.3,9000,350,380,450
Volkswagen Golf IV 1.9 TDI 110 (2000),Volkswagen,Golf,,IV 1.9 TDI 110 (2000),2900,DIESEL,4.9,15000,480,490,1100
Volkswagen Golf V 1.9 TDI 105 (2004),Volkswagen,Golf,,V 1.9 TDI 105 (2004),3800,DIESEL,5.0,16000,540,530,1600
Volkswagen Polo IV 1.4 TDI (2002),Volkswagen,Polo,,IV 1.4 TDI (2002),2600,DIESEL,4.5,12000,420,440,900
Volkswagen Golf VI 2.0 TDI (2010),Volkswagen,Golf,,VI 2.0 TDI (2010),6900,DIESEL,4.8,16000,590,560,3700
